name,bmag,ks_mag,ks_mag_flag,distance,fuv_mag,halpha_mag,log_mass_26,log_h1_mass,ha_sfr,fuv_sfr
ESO490-017,14.01,12.0,,4.23,,17.26,8.05,7.55,0.007382760509520622,
ESO486-021,14.37,11.43,,10.0,15.55,17.58,8.9,8.47,0.030728265441211315,0.030109222971995503
ESO501-023,13.2,10.34,C,7.0,14.72,,9.22,8.53,,0.03168805825930516
ESO497-004,16.36,12.79,C,19.0,19.16,20.76,9.18,8.69,0.005929871026676974,0.003910270033589539
ESO495-008,16.06,13.21,C,17.3,,19.66,8.9,8.26,0.013540361273485142,
ESO483-013,14.06,10.84,,7.4,16.21,17.84,8.68,7.63,0.01324346064241996,0.00897765655652169
DDO056,15.63,12.6,C,9.8,,19.46,8.97,7.86,0.005223843976497436,
ESO473-024,16.38,13.96,C,9.9,16.92,19.06,8.4,8.18,0.0077056350251862565,0.008355451776548586
ESO558-011,14.43,10.2,C,8.4,,18.42,9.48,8.07,0.010002224956400152,
NGC0059,12.97,10.1,,5.3,16.25,17.26,8.25,7.4,0.011590169436616435,0.004438653945001866
PGC170257,15.33,12.6,,6.5,17.55,,8.26,7.16,,0.002016165881411247
ESO553-046,14.6,12.0,,5.07,15.48,16.16,8.37,7.21,0.029211507130588243,0.008254969376484525
HIZSS014,18.4,10.82,C,7.35,,,8.38,7.92,,
ESO572-034,14.27,11.5,,8.5,,,8.56,8.12,,
KKSG9,16.4,11.66,,10.0,,19.6,9.42,8.64,0.0047812124945362565,
IC2171,15.17,10.81,C,9.9,,17.67,9.29,8.38,0.027720970772635637,
UGCA319,15.08,12.07,,7.3,17.25,21.08,8.94,7.97,0.000651904180388461,0.0033523184561827933
MCG -03-34-002,14.79,12.55,,7.9,16.77,,8.44,7.72,,0.00610876938813331
WLM,11.03,9.0,,0.97,12.8,15.56,8.27,7.83,0.0018581531858008235,0.003566506471242859
NGC6822,9.31,6.0,,0.5,12.04,12.71,9.22,8.15,0.006815191356417208,0.0019082688299587932
DDO153,14.59,12.03,C,8.0,15.9,17.36,8.77,8.54,0.02408341224615915,0.013959810464530986
NGC4700,12.63,10.49,,7.3,14.26,17.72,9.46,8.43,0.014394075157725266,0.05264356211870312
LV J1235-1104,15.7,13.18,C,10.0,16.81,,8.55,7.44,,0.00943407985083889
MCG-02-33-075,14.7,11.8,,8.7,,,8.73,7.57,,
KKSG17,15.41,12.82,C,9.7,18.43,21.66,8.35,7.72,0.000674654644165433,0.001996379108059696
MCG -01-26-009,16.1,13.61,C,9.7,17.97,19.6,8.21,7.71,0.004498642836109163,0.003049600964847597
KKSG15,15.14,12.63,C,9.7,18.0,20.77,8.33,7.77,0.001531374863951303,0.002966490872183051
