HaloID,rom_B,rom_K,rom_color,skirt_B,skirt_K,skirt_color,source,delta,delta_B,delta_K
107,-19.946059806927515,-21.367664503196394,1.4216046962688793,-18.25484711599516,-22.044723063981884,3.7898759479867214,both,2.368271251717842,1.6912126909323533,-0.6770585607854898
109,-19.715357635816783,-21.042550218439644,1.3271925826228603,,,,left_only,,,
142,-18.880999841491803,-19.68048336806192,0.7994835265701177,-19.54302148309828,-22.201113459728678,2.658091976630395,both,1.8586084500602773,-0.6620216416064757,-2.5206300916667566
154,-19.36359208022979,-20.996511594530617,1.632919514300827,-19.72711342729972,-22.80646779086038,3.079354363560661,both,1.446434849259834,-0.36352134706993056,-1.8099561963297646
168,-18.513051056308782,-20.578758653901254,2.0657075975924712,-18.79842107995897,-21.572321220396866,2.773900140437896,both,0.7081925428454245,-0.28537002365018793,-0.993562566495612
204,-19.38879066703338,-20.86396096318497,1.475170296151589,-18.590474996626952,-21.28996935567435,2.6994943590473994,both,1.2243240628958105,0.7983156704064278,-0.4260083924893827
219,-18.70871237572519,-20.42497935666882,1.7162669809436295,-19.05234642392696,-21.765058617332716,2.712712193405757,both,0.9964452124621275,-0.3436340482017677,-1.3400792606638952
223,-18.49482407923703,-20.12841914193665,1.6335950626996194,-19.396125762212343,-22.00098684661833,2.6048610844059894,both,0.97126602170637,-0.901301682975312,-1.8725677046816784
239,-16.4942394186806,-17.735332400096034,1.2410929814154343,-19.33231137178541,-21.754582407887227,2.4222710361018187,both,1.1811780546863844,-2.8380719531048086,-4.019250007791193
284,-17.94753981797964,-18.940630209783723,0.9930903918040848,-17.333659072024723,-20.415741260117336,3.0820821880926133,both,2.0889917962885285,0.6138807459549156,-1.475111050333613
306,-16.954334486970634,-18.316158374320057,1.3618238873494235,-18.53148844817736,-21.17991850522697,2.648430057049616,both,1.2866061697001925,-1.5771539612067258,-2.863760130906911
316,-18.595512344772978,-19.872787969119805,1.277275624346828,-18.268931924650985,-20.6540452474051,2.3851133227541155,both,1.1078376984072875,0.3265804201219922,-0.7812572782852953
320,-19.220237122104518,-20.44104189248484,1.2208047703803224,-19.098636644903745,-21.56585068247149,2.46721403756775,both,1.2464092671874276,0.12160047720077216,-1.1248087899866483
330,-18.50897477450152,-20.204802887512145,1.6958281130106236,-17.924908920759755,-20.52463263518493,2.599723714425174,both,0.9038956014145505,0.584065853741766,-0.3198297476727845
372,-18.15929550411928,-19.712525714807317,1.5532302106880351,-17.997667922886095,-20.67097365795229,2.6733057350661937,both,1.1200755243781586,0.1616275812331871,-0.9584479431449715
429,-17.237905437661038,-19.28001865628846,2.0421132186274207,-17.34309710403349,-20.21891757579193,2.875820471758445,both,0.8337072531310241,-0.10519166637245192,-0.9388989195034725
