name,ra_deg,dec_deg
IC3104,184.69192,-79.72606999999999
NGC2915,141.54805000000002,-76.62631944444443
SMC,13.158333333333331,-72.80027777777778
LMC,80.89416666666666,-69.75611111111111
ESO059-001,112.82584,-68.18799
IC4710,277.1582041666666,-66.98227777777778
IC4870,294.40666471417,-65.81185263349
NGC6684,282.24114951374,-65.17342342328
ESO104-022,283.9216666666667,-64.81083333333333
IC4662,266.78830000000005,-64.63868055555557
ESO104-044,287.8437,-64.2226
HIPASS J1441-62,220.40416666666667,-62.74388888888889
IC4951,302.38238,-61.85047
ESO115-021,39.4565125,-61.33160277777778
ESO121-020,93.9758,-57.72546
NGC1705,73.55610895561,-53.36096433123
ESO174-001,203.33203915152,-53.35468862545
ESO149-003,358.00895,-52.57607000000001
NGC1311,50.02894166666667,-52.18548888888889
IC5152,330.6730041666667,-51.29644444444445
IC1959,53.3024,-50.414202777777774
ESO199-007,44.5174,-49.38304999999999
ESO238-005,335.6269639,-48.4063724
ESO223-009,225.28613,-48.29046
ESO215-009,164.37458,-48.17861
RKK1610,146.35344,-48.14145
ESO269-058,197.6366864,-46.9938185
AM2220-460,335.9282083333334,-45.88344444444444
ESO272-025,220.85635,-44.70525000000001
ESO245-005,26.265570000000004,-43.59804
NGC5237,204.4127333333333,-42.84691666666667
HIPASS J0457-42,74.24291666666667,-42.80083333333333
ESO325-011,206.2543868,-41.8627758
ESO324-024,201.9067156,-41.4789245
NGC0625,23.7693,-41.4362
NGC5408,210.8371125,-41.37770833333333
ESO300-016,47.54368,-40.00292
ESO320-014,174.47182,-39.22034
ESO318-013,161.92333,-38.85367
ESO348-009,357.3479102,-37.7737599
ESO347-017,351.73421,-37.34692
ESO383-087,207.32296237969,-36.0635723551
HIPASS J0905-36,136.5,-36.06
HIPASS J0607-34,91.8321,-34.20448611111112
NGC2188,92.5412225,-34.1039355
ESO381-020,191.50279,-33.836940000000006
ESO373-007,143.1912723,-33.2474473
ESO364-029,91.43333333333334,-33.083333333333336
NGC5398,210.3398125,-33.06378333333333
UGCA442,355.9397875,-31.956769444444447
NGC1800,76.6072375,-31.954225000000005
NGC5253,204.98329166666667,-31.64003055555556
NGC5264,205.4028458333333,-29.913125
HIZSS021,116.525,-28.42666666666667
CGMW2-3473,126.301634,-28.1421808
ESO409-015,1.38273,-28.098180000000003
ESO444-084,204.33329,-28.045
NGC1592,67.42018189928,-27.40870673349
MCG -04-31-038,197.4025,-27.14075
NGC3037,147.85002112499998,-27.011135000000003
ESO499-038,150.95896,-26.612749999999995
ESO496-010,132.27512916666666,-26.321761111111105
NGC3109,150.77865416666668,-26.159572222222227
ESO490-017,99.48788000000002,-26.00086
ESO486-021,75.83203,-25.42293
ESO501-023,158.84667,-24.75414
ESO497-004,135.76319,-23.808540000000004
ESO495-008,125.25505959999998,-23.7801314
ESO483-013,63.17132916666668,-23.15888611111111
DDO056,137.44393,-23.00917
ESO473-024,7.843790000000001,-22.76596
ESO558-011,106.73666666666664,-22.04055555555556
NGC0059,3.854691666666666,-21.44435555555556
PGC170257,202.3375228256,-21.17919775394
ESO553-046,81.77378567922,-20.678064392260005
HIZSS014,114.0944372,-19.4941435
ESO572-034,179.74214166666667,-19.02990833333334
IC2171,101.1154,-17.93241388888889
UGCA319,195.55994,-17.23754
MCG -03-34-002,196.9860708333333,-16.689097222222227
NGC6822,296.2341625,-14.79758055555556
DDO153,193.4856614,-12.1054041
NGC4700,192.28395,-11.40985555555556
MCG-02-33-075,194.6177833333333,-10.57699722222222
MCG -01-26-009,150.39013,-6.525110000000001
DDO148,192.181558,-5.252667
UGC06145,166.394599,-1.864294
KDG155,188.283101,-0.5330460000000001
CGCG 014-054,187.76583,1.67611
UGC05797,159.854971,1.719189
UGC07512,186.420312,2.159267
NGC4765,193.3108762720048,4.4631867861882
IC3591,189.261238,6.925906
AGC191803,147.024695,7.128097
