name,bmag,ks_mag,ks_mag_flag,distance,fuv_mag,halpha_mag,log_mass_26,log_h1_mass,ha_sfr,fuv_sfr,ra_deg,dec_deg,ebv_sfd,gal_b,low_gal_lat,A_B,A_Ks,bmag_dered,ks_mag_dered,BK_obs,BK_dered,deredden_suspect,high_foreground,very_blue
WLM,11.03,9.0,,0.97,12.8,15.56,8.27,7.83,0.0018581531858008,0.0035665064712428,0.49236,-15.46108,0.03775704279541969,-73.62444222021603,False,0.1369070371761918,0.011553655095398426,10.893092962823808,8.988446344904602,2.0299999999999994,1.9046466179192052,False,False,False
NGC6822,9.31,6.0,,0.5,12.04,12.71,9.22,8.15,0.0068151913564172,0.0019082688299587,296.2341625,-14.79758055555556,0.23382890224456787,-18.39118089487525,False,0.8478635995388031,0.07155164408683777,8.462136400461198,5.928448355913162,3.3100000000000005,2.533688044548035,False,False,False
DDO153,14.59,12.03,C,8.0,15.9,17.36,8.77,8.54,0.0240834122461591,0.0139598104645309,193.4856614,-12.1054041,0.054568368941545486,50.76163596029144,False,0.19786490578204394,0.016697920896112918,14.392135094217956,12.013302079103886,2.5600000000000005,2.37883301511407,False,False,False
NGC4700,12.63,10.49,,7.3,14.26,17.72,9.46,8.43,0.0143940751577252,0.0526435621187031,192.28395,-11.40985555555556,0.046870555728673935,51.45784477875956,False,0.16995263507217168,0.014342390052974224,12.46004736492783,10.475657609947026,2.1400000000000006,1.9843897549808034,False,False,False
LV J1235-1104,15.7,13.18,C,10.0,16.81,,8.55,7.44,,0.0094340798508388,188.91418,-11.06715,0.0403481163084507,51.613209159631076,False,0.14630226973444224,0.012346523590385914,15.553697730265558,13.167653476409614,2.5199999999999996,2.3860442538559443,False,False,False
MCG-02-33-075,14.7,11.8,,8.7,,,8.73,7.57,,,194.6177833333333,-10.57699722222222,0.05106313154101372,52.256177002353056,False,0.18515491496771574,0.015625318251550196,14.514845085032283,11.784374681748451,2.8999999999999986,2.7304704032838316,False,False,False
KKSG17,15.41,12.82,C,9.7,18.43,21.66,8.35,7.72,0.0006746546441654,0.0019963791080596,,,,,False,,,,,2.59,,False,False,False
MCG -01-26-009,16.1,13.61,C,9.7,17.97,19.6,8.21,7.71,0.0044986428361091,0.0030496009648475,150.39013,-6.525110000000001,0.03508339077234268,36.89995400396689,False,0.12721237494051457,0.01073551757633686,15.972787625059487,13.599264482423662,2.490000000000002,2.3735231426358254,False,False,False
KKSG15,15.14,12.63,C,9.7,18.0,20.77,8.33,7.77,0.0015313748639513,0.002966490872183,,,,,False,,,,,2.51,,False,False,False
DDO148,13.7,10.99,C,9.0,17.36,,8.65,7.82,,0.0046045221524302,192.181558,-5.252667,0.029841000214219093,57.612444383635605,False,0.10820346677675843,0.009131346065551042,13.59179653322324,10.980868653934449,2.709999999999999,2.6109278792887913,False,False,False
SexA,11.86,10.18,,1.32,12.91,15.53,8.4,7.82,0.0035374141456174,0.0059682555454376,152.75208333333333,-4.691666666666667,0.044457100331783295,39.875354345724396,False,0.1612014458030462,0.013603872701525688,11.698798554196953,10.166396127298475,1.6799999999999997,1.5324024268984786,False,False,False
UGC06145,16.45,13.88,C,10.7,18.44,21.76,8.2,7.97,0.0007486961521622,0.0024069501912509,166.394599,-1.864294,0.0565904825925827,51.3952034121635,False,0.20519708988070487,0.017316687673330305,16.244802910119294,13.86268331232667,2.5699999999999985,2.3821195977926237,False,False,False
KDG155,16.4,13.96,C,8.11,20.48,,8.26,7.65,,0.0002112230241421,188.283101,-0.5330460000000001,0.023732680827379227,61.99054725638468,False,0.08605470068007708,0.007262200333178043,16.313945299319922,13.952737799666822,2.4399999999999977,2.3612074996530996,False,False,False
